execution;generation;chromosome;fitness 
1;1;15,143,4,114,72;0
1;2;15,143,4,114,72;0
1;3;15,143,4,114,72;0
1;4;15,143,4,114,72;0
1;5;15,143,4,114,72;0
1;6;15,143,4,114,72;0
1;7;15,143,4,114,72;0
1;8;15,143,4,114,72;0
1;9;15,143,4,114,72;0
1;10;15,143,4,114,72;0
1;11;15,143,4,114,72;0
1;12;23,143,4,114,72;0.6745078740157481
1;13;23,143,4,114,72;0.6745078740157481
1;14;23,126,4,114,72;0.6755093503937009
1;15;23,126,4,114,72;0.6755093503937009
1;16;23,126,4,114,72;0.6755093503937009
1;17;23,126,4,114,72;0.6755093503937009
1;18;23,126,4,114,72;0.6755093503937009
1;19;23,126,4,114,72;0.6755093503937009
1;20;23,126,4,114,72;0.6755093503937009
1;21;23,126,4,114,72;0.6755093503937009
1;22;23,126,4,114,72;0.6755093503937009
1;23;23,126,4,114,72;0.6755093503937009
1;24;23,126,4,114,72;0.6755093503937009
1;25;23,126,4,114,72;0.6755093503937009
1;26;23,126,4,114,72;0.6755093503937009
1;27;23,126,4,114,72;0.6755093503937009
1;28;23,126,4,67,72;0.7287696850393701
1;29;23,126,4,67,72;0.7287696850393701
1;30;23,126,29,67,72;0.7316043307086614
1;31;23,126,29,67,72;0.7316043307086614
1;32;23,126,29,67,72;0.7316043307086614
1;33;23,126,29,67,72;0.7316043307086614
1;34;23,126,29,67,72;0.7316043307086614
1;35;23,126,29,67,72;0.7316043307086614
1;36;23,126,29,67,140;0.7925713582677166
1;37;23,126,29,67,140;0.7925713582677166
1;38;23,126,29,67,140;0.7925713582677166
1;39;23,126,29,67,140;0.7925713582677166
1;40;23,126,29,67,140;0.7925713582677166
1;41;23,126,29,67,140;0.7925713582677166
1;42;23,126,29,67,140;0.7925713582677166
1;43;23,126,135,67,140;0.8535383858267716
1;44;23,126,135,67,140;0.8535383858267716
1;45;23,126,135,67,140;0.8535383858267716
1;46;23,126,135,67,140;0.8535383858267716
1;47;23,126,135,67,140;0.8535383858267716
1;48;23,126,135,67,140;0.8535383858267716
1;49;23,126,135,67,140;0.8535383858267716
1;50;23,126,135,67,140;0.8535383858267716
1;51;23,126,135,67,140;0.8535383858267716
1;52;23,126,135,129,140;0.861392716535433
1;53;23,126,135,129,140;0.861392716535433
1;54;23,126,135,129,140;0.861392716535433
1;55;23,126,135,129,140;0.861392716535433
1;56;23,126,135,129,140;0.861392716535433
1;57;23,126,135,129,140;0.861392716535433
1;58;23,126,135,129,140;0.861392716535433
1;59;23,126,135,129,140;0.861392716535433
1;60;23,126,135,129,140;0.861392716535433
1;61;23,126,135,129,140;0.861392716535433
1;62;23,126,135,129,140;0.861392716535433
1;63;23,126,135,129,140;0.861392716535433
1;64;23,126,135,129,140;0.861392716535433
1;65;23,126,135,129,140;0.861392716535433
1;66;23,126,135,129,140;0.861392716535433
1;67;23,126,135,129,140;0.861392716535433
1;68;23,126,135,129,140;0.861392716535433
1;69;23,126,135,129,140;0.861392716535433
1;70;23,126,135,129,140;0.861392716535433
1;71;23,126,135,129,140;0.861392716535433
1;72;23,126,135,129,140;0.861392716535433
1;73;23,126,135,129,140;0.861392716535433
1;74;23,126,135,129,140;0.861392716535433
1;75;23,126,135,129,140;0.861392716535433
1;76;23,126,135,129,140;0.861392716535433
1;77;23,126,135,129,140;0.861392716535433
1;78;23,126,135,129,140;0.861392716535433
1;79;23,126,135,129,140;0.861392716535433
1;80;23,126,135,129,140;0.861392716535433
1;81;23,126,135,129,140;0.861392716535433
1;82;23,126,135,129,140;0.861392716535433
1;83;23,126,135,129,140;0.861392716535433
1;84;23,126,135,129,140;0.861392716535433
1;85;23,126,135,129,140;0.861392716535433
1;86;23,126,135,129,140;0.861392716535433
1;87;23,126,135,129,140;0.861392716535433
1;88;23,126,135,129,140;0.861392716535433
1;89;23,126,135,129,140;0.861392716535433
1;90;23,126,135,129,140;0.861392716535433
1;91;23,126,135,129,140;0.861392716535433
1;92;23,126,135,129,140;0.861392716535433
1;93;23,126,135,129,140;0.861392716535433
1;94;23,126,135,129,140;0.861392716535433
1;95;23,126,135,129,140;0.861392716535433
1;96;23,126,135,129,140;0.861392716535433
1;97;23,126,135,129,140;0.861392716535433
1;98;23,138,135,129,140;0.8639419291338583
1;99;23,138,135,129,140;0.8639419291338583
1;100;23,138,135,129,140;0.8639419291338583
execution;generation;chromosome;fitness 
2;1;60,122,40,53,117;0
2;2;60,122,40,53,117;0
2;3;60,122,133,53,117;0.6844955708661419
2;4;60,122,133,53,117;0.6844955708661419
2;5;60,122,133,53,117;0.6844955708661419
2;6;60,122,133,47,117;0.7467224409448819
2;7;60,122,133,47,117;0.7467224409448819
2;8;60,122,133,47,117;0.7467224409448819
2;9;97,122,133,47,117;0.7560531496062992
2;10;97,122,133,47,117;0.7560531496062992
2;11;97,122,133,47,117;0.7560531496062992
2;12;97,122,133,47,117;0.7560531496062992
2;13;97,122,133,47,117;0.7560531496062992
2;14;97,122,133,47,117;0.7560531496062992
2;15;97,41,133,47,117;0.7560826771653543
2;16;97,41,133,47,117;0.7560826771653543
2;17;97,41,133,47,117;0.7560826771653543
2;18;97,41,133,47,117;0.7560826771653543
2;19;97,41,133,47,117;0.7560826771653543
2;20;97,41,133,47,117;0.7560826771653543
2;21;97,41,133,47,117;0.7560826771653543
2;22;97,41,133,47,117;0.7560826771653543
2;23;97,41,133,47,117;0.7560826771653543
2;24;97,41,133,47,117;0.7560826771653543
2;25;97,41,133,47,117;0.7560826771653543
2;26;97,41,133,47,108;0.8190895669291339
2;27;97,41,133,47,108;0.8190895669291339
2;28;97,98,133,47,108;0.8820620078740158
2;29;97,98,133,47,108;0.8820620078740158
2;30;97,98,133,47,108;0.8820620078740158
2;31;97,98,133,47,108;0.8820620078740158
2;32;97,98,133,47,108;0.8820620078740158
2;33;97,98,133,47,108;0.8820620078740158
