execution;start;end;duration 
1;Mon Nov 18 2019 20:14:34 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:14:34 GMT-0200 (Brasilia Summer Time);132 
execution;start;end;duration 
2;Mon Nov 18 2019 20:15:52 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:15:52 GMT-0200 (Brasilia Summer Time);106 
execution;start;end;duration 
2;Mon Nov 18 2019 20:16:28 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:16:28 GMT-0200 (Brasilia Summer Time);108 
execution;start;end;duration 
3;Mon Nov 18 2019 20:17:23 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:17:23 GMT-0200 (Brasilia Summer Time);119 
execution;start;end;duration 
3;Mon Nov 18 2019 20:18:09 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:18:09 GMT-0200 (Brasilia Summer Time);134 
execution;start;end;duration 
4;Mon Nov 18 2019 20:18:30 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:18:30 GMT-0200 (Brasilia Summer Time);97 
execution;start;end;duration 
5;Mon Nov 18 2019 20:18:48 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:18:48 GMT-0200 (Brasilia Summer Time);124 
execution;start;end;duration 
6;Mon Nov 18 2019 20:19:10 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:19:10 GMT-0200 (Brasilia Summer Time);125 
execution;start;end;duration 
7;Mon Nov 18 2019 20:19:45 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:19:45 GMT-0200 (Brasilia Summer Time);166 
execution;start;end;duration 
8;Mon Nov 18 2019 20:19:58 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:19:58 GMT-0200 (Brasilia Summer Time);134 
execution;start;end;duration 
9;Mon Nov 18 2019 20:20:36 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:20:37 GMT-0200 (Brasilia Summer Time);146 
execution;start;end;duration 
10;Mon Nov 18 2019 20:21:13 GMT-0200 (Brasilia Summer Time);Mon Nov 18 2019 20:21:14 GMT-0200 (Brasilia Summer Time);126 
