execution;generation;chromosome;fitness 
1;1;104,62,7,85,87;0
1;2;104,62,7,85,87;0
1;2;101,104,62,85,87;0
1;3;104,62,7,85,87;0
1;3;111,62,7,85,87;0
1;4;104,62,7,85,87;0
1;4;58,62,7,85,87;0
1;5;104,62,7,85,87;0
1;5;104,142,62,85,87;0
1;6;104,62,7,85,87;0
1;6;102,104,62,7,87;0
1;7;104,62,7,85,87;0
1;7;62,7,85,87,92;0
1;8;104,62,7,85,87;0
1;8;119,62,7,85,87;0.6898359999999998
1;9;119,62,7,85,87;0.6898359999999998
1;9;119,131,7,85,87;0.64038
1;10;119,62,7,85,87;0.6898359999999998
1;10;119,62,7,85,87;0.6898359999999998
1;11;119,62,7,85,87;0.6898359999999998
1;11;62,7,80,85,87;0
1;12;119,62,7,85,87;0.6898359999999998
1;12;119,62,69,7,85;0.6405619999999999
1;13;119,62,7,85,87;0.6898359999999998
1;13;112,119,7,85,87;0.69692
1;14;112,119,7,85,87;0.7045359999999999
1;14;112,119,7,85,87;0.7045359999999999
1;15;112,119,7,85,87;0.7045359999999999
1;15;112,119,140,85,87;0.676396
1;16;112,119,7,85,87;0.7045359999999999
1;16;103,112,7,85,87;0
1;17;112,119,7,85,87;0.7045359999999999
1;17;112,119,64,7,87;0.700308
1;18;112,119,7,85,87;0.7045359999999999
1;18;112,119,7,85,87;0.7045359999999999
1;19;112,119,7,85,87;0.7045359999999999
1;19;119,29,7,85,87;0.6453719999999998
1;20;112,119,7,85,87;0.7045359999999999
1;20;112,7,85,87,94;0
1;21;112,119,7,85,87;0.7045359999999999
1;21;112,7,72,85,87;0.6925520000000001
1;22;112,119,7,85,87;0.7045359999999999
1;22;112,17,7,85,87;0
1;23;112,119,7,85,87;0.7045359999999999
1;23;112,119,53,7,87;0.6502859999999999
1;24;112,119,7,85,87;0.7045359999999999
1;24;112,119,29,7,85;0
1;25;112,119,7,85,87;0.7045359999999999
1;25;119,134,7,85,87;0.6456839999999999
1;26;112,119,7,85,87;0.7045359999999999
1;26;112,119,7,85,87;0.7045359999999999
1;27;112,119,7,85,87;0.7045359999999999
1;27;112,119,7,85,87;0.7045359999999999
1;28;112,119,7,85,87;0.7045359999999999
1;28;119,36,7,85,87;0.642122
1;29;112,119,7,85,87;0.7045359999999999
1;29;112,29,7,85,87;0
